fichier	url_image	page_source	titre	requete	date
/images/sub-sciences.webp	https://static.vecteezy.com/system/resources/previews/046/129/311/non_2x/vibrant-test-tubes-with-colorful-liquids-in-a-laboratory-setting-scientific-research-concept-of-chemistry-laboratory-work-experiments-scientific-studies-photo.jpeg	https://www.vecteezy.com/photo/46129311-vibrant-test-tubes-with-colorful-liquids-in-a-laboratory-setting-scientific-research-concept-of-chemistry-laboratory-work-experiments-scientific-studies	Vibrant test tubes with colorful liquids in a laboratory setting ...	chemistry laboratory test tubes scientist photo	2026-09-24 # rejetée
/images/sub-espace.webp	https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2006/12/view_of_the_earth_looking_down_from_the_international_space_station/9778680-3-eng-GB/View_of_the_Earth_looking_down_from_the_International_Space_Station_pillars.jpg	https://narodnatribuna.info/lists/e/earth-from-space-station/	Earth From Space Station Planet Earth Seen From The The International	Earth from space International Space Station photo	2026-09-24
/images/sub-art-et-peinture.webp	https://cypaint.com/images/resources/where-is-the-painting-gallery-of-the-louvre_20260113080741.webp	https://cypaint.com/article/where-is-the-painting-gallery-of-the-louvre	Discovering The Louvre's Painting Gallery: A Visitor's Essential Guide ...	Louvre museum painting gallery visitors	2026-09-24 # rejetée
/images/sub-musique.webp	https://static.vecteezy.com/system/resources/previews/027/845/634/large_2x/crowd-at-a-concert-with-hands-up-scene-stage-lights-rock-festival-photo.jpg	https://www.vecteezy.com/photo/27845634-crowd-at-a-concert-with-hands-up-scene-stage-lights-rock-festival	Crowd at a concert with hands up. Scene stage lights, rock festival ...	rock concert crowd stage lights	2026-09-24 # rejetée
/images/sub-litterature.webp	https://i.pinimg.com/originals/97/89/23/9789234f4c90e1aa7955640b631816b6.jpg	https://www.pinterest.com/pin/old-library-interior-with-books-on-shelves--356558495516805210/	old library interior with books on shelves , | Old library, Interior ...	old library bookshelves books	2026-09-24 # rejetée
/images/q-sciences-01.webp	https://static.vecteezy.com/system/resources/previews/044/281/591/large_2x/stack-of-gold-bullion-bars-photo.jpg	https://www.vecteezy.com/photo/44281591-stack-of-gold-bullion-bars	Stack Of Gold Bullion Bars 44281591 Stock Photo at Vecteezy	gold bars bullion	2026-09-24 # rejetée
/images/q-sciences-04.webp	https://media.wired.com/photos/5a14811c00f49e7e1c26564c/4:3/w_2624,h_1968,c_limit/BE022985.jpg	https://ar.inspiredpencil.com/pictures-2023/einstein-iconic-photo	Einstein Iconic Photo	Albert Einstein photograph	2026-09-24
/images/q-sciences-07.webp	https://images.fineartamerica.com/images/artworkimages/mediumlarge/2/alexander-fleming-working-in-laboratory-bettmann.jpg	https://photos.com/featured/alexander-fleming-working-in-laboratory-bettmann.html	Alexander Fleming Working In Laboratory by Bettmann	Alexander Fleming in his laboratory	2026-09-24 # rejetée
/images/q-sciences-08.webp	https://cdn.artphotolimited.com/images/5c2e191bd96b2e012e7a7fc5/1000x1000/marie-curie-a-paris-dans-son-premier-laboratoire.jpg	https://www.artphotolimited.com/au-en/fine-art-photography/documentary/sciences/photo/roger-viollet/marie-curie-in-paris-in-her-first-laboratory	Marie Curie in Paris in her first laboratory - Photographic print for sale	Marie Curie in her laboratory	2026-09-24
/images/q-sciences-09.webp	https://cdn.shopify.com/s/files/1/0326/3840/2604/files/FINAL_CORRECTED_VERSION_PERIODIC_TABLE_2025_4.7MB.jpg?v=1747923265	https://fity.club/lists/suggestions/chemistry-chart-periodic-table/	Chemistry Chart Periodic Table Periodic Table | Definition, Elements,	periodic table of elements chart	2026-09-24
/images/q-sciences-10.webp	https://www.thoughtco.com/thmb/WB__YA7ww2RUFCZPEhEJPpdxdnU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/drops-of-liquid-mercury-117452090-57cb36cd3df78c71b674af4b.jpg	https://www.thoughtco.com/definition-of-heavy-metal-605190	Heavy Metal Definition and List	liquid mercury metal droplets	2026-09-24
/images/q-corps-humain-01.webp	https://media.sketchfab.com/models/3d2110a3eca244ffa956f54008489558/thumbnails/f8efa3ba986f4ba7ad8a6fc157523219/c632d27b57a44c1a83eafb130dc80079.jpeg	https://sketchfab.com/3d-models/human-anatomy-skeleton-3d2110a3eca244ffa956f54008489558	HUMAN ANATOMY SKELETON - 3D model by zorrenhimself [3d2110a] - Sketchfab	human skeleton anatomy model	2026-09-24
/images/q-corps-humain-02.webp	https://www.minthilldentistry.com/wp-content/uploads/panoramic-xray.jpg	https://www.minthilldentistry.com/panoramic-x-ray	What is a Panoramic X-Ray | Mint Hill Dentistry	adult teeth dental panoramic x-ray	2026-09-24
/images/q-corps-humain-05.webp	https://media.sketchfab.com/models/26adbbe9c3d34cb698b7f75d7bfb76a6/thumbnails/18baa9c2c9ed4dbebcef273a8c75f144/f54d7ad0c65a45ec96d7537961343288.jpeg	https://fity.club/lists/suggestions/Human-Heart-Model/	Human Heart Model Human Heart Model 2 Part Life Size Anatomically	human heart anatomical model	2026-09-24
/images/q-corps-humain-09.webp	https://www.news.uct.ac.za/images/userfiles/files/gallery/20171129_Heart50/09.jpg	https://www.news.uct.ac.za/article/-2017-11-29-50th-anniversary-of-the-first-human-heart-transplant	50th anniversary of the first human heart transplant | UCT News	Christiaan Barnard heart transplant 1967	2026-09-24
/images/q-corps-humain-10.webp	https://image.slideserve.com/736853/slide2-l.jpg	https://www.slideserve.com/irisa/fch-532-lecture-4	PPT - FCH 532 Lecture 4 PowerPoint Presentation, free download - ID:736853	DNA double helix model Watson Crick 1953	2026-09-24 # rejetée
/images/q-espace-01.webp	https://cdn.sci.news/images/enlarge4/image_5608_2e-Jupiter.jpg	https://www.sci.news/space/juno-photos-jupiter-tenth-flyby-05608.html	NASA’s Juno Orbiter Delivers Spectacular New Photos of Jupiter | Space ...	Jupiter planet NASA Juno image	2026-09-24
/images/q-espace-03.webp	https://as1.ftcdn.net/v2/jpg/05/92/34/50/1000_F_592345071_CfGeABNOlXkbH3uRUylJhkSEGPGXKmdG.jpg	https://ar.inspiredpencil.com/pictures-2023/astronauts-on-the-moon-1969	Astronauts On The Moon 1969	Apollo 11 astronaut on the Moon 1969	2026-09-24 # rejetée
/images/q-espace-05.webp	https://d2pn8kiwq2w21t.cloudfront.net/original_images/jpegPIA20202.jpg	https://www.jpl.nasa.gov/images/pia20202-new-horizons-very-best-view-of-pluto-movie/	New Horizons' Very Best View of Pluto (movie) | NASA Jet Propulsion ...	Pluto New Horizons NASA image	2026-09-24 # rejetée
/images/q-espace-09.webp	https://i.natgeofe.com/n/f086b4e8-431e-43e2-b61e-249b04d12fe4/66183.jpg	https://www.nationalgeographic.com/adventure/article/130412-space-travel-technologies-yuri-gagarin	5 Big Changes in Space Travel Since Yuri Gagarin’s First Flight ...	Yuri Gagarin cosmonaut 1961	2026-09-24
/images/q-espace-10.webp	https://assets.science.nasa.gov/dynamicimage/assets/science/psd/solar/internal_resources/426/rings_diagram_nolables-1.jpg?w=4096&format=jpeg&fit=clip&crop=faces%2Cfocalpoint	https://science.nasa.gov/mission/cassini/science/rings/	Rings - NASA Science	Saturn rings Cassini NASA image	2026-09-24
/images/q-peinture-01.webp	https://images.metroscenes.com/images/2012/paris-france-october-2012/paris_france_october_2012_metroscenes.com_11.jpg	https://images.metroscenes.com/2012/paris-france-october-2012/1864/visitors_crowd_around_to_photograph_the_mona_lisa_at_the_lourve/	Visitors crowd around to photograph the Mona Lisa at the Lourve ...	Mona Lisa Louvre crowd visitors	2026-09-24 # rejetée
/images/q-peinture-02.webp	https://uploads3.wikiart.org/00142/images/vincent-van-gogh/the-starry-night.jpg	https://www.wikiart.org/en/vincent-van-gogh/the-starry-night-1889	The Starry Night, 1889 - Vincent van Gogh - WikiArt.org	The Starry Night Van Gogh painting	2026-09-24
/images/q-peinture-03.webp	https://www.elplural.com/uploads/s1/13/52/55/7/europapress-3392002-guernica-pablo-picasso-salas-museo-reina-sofia-dia-antes-termino-estado.jpeg	https://www.elplural.com/sociedad/guernica-picasso-66-bocetos-35-dias-creacion-5-teorias-por-en-blanco-negro_288603102	El 'Guernica' de Picasso: 66 bocetos, 35 días de creación y 5 teorías ...	Guernica Picasso Museo Reina Sofia	2026-09-24
/images/q-peinture-05.webp	https://uploads5.wikiart.org/images/salvador-dali/the-persistence-of-memory-1931.jpg	https://www.wikiart.org/en/salvador-dali/the-persistence-of-memory-1931	The Persistence of Memory, 1931 - Salvador Dali - WikiArt.org	The Persistence of Memory Dali painting	2026-09-24
/images/q-peinture-06.webp	https://i.pinimg.com/originals/57/65/cb/5765cb089b033d071662a3b7f6cdbe11.jpg	https://www.pinterest.com/pin/muse-de-lorangerie-virtual-tour--512917845070009799/	Musée de l'Orangerie Virtual Tour | Claude monet, Monet water lilies ...	Monet Water Lilies Musee de l'Orangerie	2026-09-24
/images/q-peinture-07.webp	https://i.pinimg.com/originals/4d/b6/ee/4db6ee6b27800762d50b4f19682ab20d.jpg	https://ar.inspiredpencil.com/pictures-2023/michelangelo-buonarroti-sistine-chapel-ceiling	Michelangelo Buonarroti Sistine Chapel Ceiling	Sistine Chapel ceiling Michelangelo	2026-09-24
/images/q-musique-02.webp	https://i.etsystatic.com/16354667/r/il/3e1535/3548557637/il_fullxfull.3548557637_rydt.jpg	https://www.etsy.com/uk/listing/1130017447/portrait-of-ludwig-van-beethoven-by	Portrait of Ludwig Van Beethoven by Joseph Karl Stieler 1820 - Etsy UK	Ludwig van Beethoven portrait painting	2026-09-24 # rejetée
/images/q-musique-03.webp	https://cdn.artphotolimited.com/images/652574abbd40b862c676a918/1000x1000/freddie-mercury-live-aid-de-1985.jpg	https://www.artphotolimited.com/au-en/fine-art-photography/concert-and-music/rock-music/english-rock-music/queen/photo/world-illustrated-inc/freddie-mercury-live-aid-1985	Freddie Mercury - Live Aid 1985 - Photographic print for sale	Queen Freddie Mercury Live Aid 1985	2026-09-24
/images/q-musique-04.webp	https://www.beatlesbible.com/wp/media/640211-beatles-washington-coliseum_01.jpg	https://ar.inspiredpencil.com/pictures-2023/the-beatles-1964-fans	The Beatles 1964 Fans	The Beatles 1964 photo	2026-09-24
/images/q-musique-05.webp	https://static.vecteezy.com/system/resources/previews/060/463/618/large_2x/close-up-of-piano-keyboard-keys-free-photo.jpg	https://www.vecteezy.com/photo/60463618-close-up-of-piano-keyboard-keys	Close-up of Piano Keyboard Keys 60463618 Stock Photo at Vecteezy	piano keyboard keys close up	2026-09-24
/images/q-musique-07.webp	https://i.ytimg.com/vi/Kb-Mj0Nd5gw/maxresdefault.jpg	https://www.youtube.com/watch?v=Kb-Mj0Nd5gw	WATERLOO – ABBA ( Sweden 1974 – Eurovision Song Contest 4K) - YouTube	ABBA Waterloo Eurovision 1974	2026-09-24 # rejetée
/images/q-litterature-01.webp	https://www.autographes-des-siecles.com/wp-content/uploads/2023/05/H-2-1024x704.jpg	https://www.autographes-des-siecles.com/produit/exceptionnel-portrait-de-victor-hugo-sur-son-lit-de-mort-par-nadar/	Exceptionnel portrait de Victor HUGO sur son lit de mort, par NADAR.	Victor Hugo photographie Nadar	2026-09-24 # rejetée
/images/q-litterature-03.webp	https://a.1stdibscdn.com/antoine-de-saint-exupery-prints-works-on-paper-le-petit-prince-sur-sa-planete-lithograph-1900-1944-platesigned-for-sale/a_11481/a_4187282/mobilejpegupload_1553716972918_master.jpg	https://www.1stdibs.com/art/prints-works-on-paper/figurative-prints-works-on-paper/antoine-de-saint-exupery-le-petit-prince-sur-sa-planete-lithograph-1900-1944-platesigned/id-a_4187282/	Antoine de saint Exupery - Le Petit Prince sur sa planète - Lithograph ...	Le Petit Prince Saint-Exupery illustration planete	2026-09-24 # rejetée
/images/q-litterature-05.webp	https://insidestory.org.au/wp-content/uploads/orwell_tea.jpg	https://cvf.tataindicombroadband.com/george-orwell-recompenses-george-orwell-biographie/	George Orwell Récompenses – George Orwell Biographie – AYWFBP	George Orwell photograph	2026-09-24
/images/q-litterature-07.webp	https://thirdeyetraveller.com/wp-content/uploads/221b-Baker-Street-London-Sherlock-Holmes-Museum-2.jpg	https://thirdeyetraveller.com/221b-baker-street-london-sherlock-holmes/	How To Visit 221b Baker Street London - Home Of Sherlock Holmes!	Sherlock Holmes Baker Street 221b	2026-09-24 # rejetée
/images/sub-corps-humain.webp	https://cdn.britannica.com/51/54751-050-E65F3C33/Front-views-human-skeleton.jpg	https://www.britannica.com/science/human-skeleton	Human skeleton | Parts, Functions, Diagram, & Facts | Britannica	human skeleton anatomy	2026-09-24 # rejetée
