fichier	url_image	page_source	titre	requete	date
/images/sub-departements-francais.webp	https://www.regions-departements-france.fr/images/france/carte-de-france-avec-numeros-de-departement-couleur.jpg	https://www.regions-departements-france.fr/carte-des-departements.html	Carte des départements français	carte des départements français numéros	2026-09-24 # rejetée
/images/q-quiz-departements-francais-01.webp	https://inticketo.com/wp-content/uploads/2026/01/Tour-Packages.jpg	https://inticketo.com/p-type/tour-packages/	Tour Packages - Inticketo	Tour Eiffel Paris vue Seine photo	2026-09-24 # rejetée
/images/q-quiz-departements-francais-02.webp	https://www.cyclenews.com/wp-content/uploads/2023/07/8A7A6640-2.jpg	https://www.cyclenews.com/2023/07/article/yamaha-celebrates-50-years-of-the-yz/	Yamaha Celebrates 50 Years of the YZ - Cycle News	cathédrale Saint-Corentin Quimper photo	2026-09-24 # rejetée
/images/q-quiz-departements-francais-04.webp	https://www.ou-et-quand.net/blog/wp-content/uploads/2019/11/Ajaccio_Ville-portuaire-de-Corse.jpg	https://www.ou-et-quand.net/blog/que-faire-a-ajaccio/	Que faire à Ajaccio ? 10 incontournables et 3 inédits	Ajaccio port vue photo	2026-09-24
/images/q-quiz-departements-francais-10.webp	https://i.pinimg.com/originals/2e/7d/ba/2e7dbaf7e16dbbe5e10f175d3257c1d3.jpg?nii=t	https://www.pinterest.com/ideas/solo-leveling-pfp-sung-jin-woo/904396091120/	Solo Leveling Pfp Sung Jin Woo	Mont-Saint-Michel baie photo	2026-09-24 # rejetée
/images/sub-departements-francais.webp	https://www.regions-et-departements.fr/images/carte-departements-francais-noms-numeros.webp	https://gamblingexposed.org/numeros-des-departements-francais/	Numéros Des Départements Français – YDFQN	carte des départements français numéros	2026-09-24 # rejetée
/images/q-quiz-departements-francais-01.webp	https://miro.medium.com/v2/resize:fit:1358/1*tvV0A79d6PiJrWFlBmX1aQ.jpeg	https://medium.com/@holidaytoursdestination/discover-the-convenience-of-car-rental-services-with-seva-tourism-25b41f5abff5	Discover the Convenience of Car Rental Services with Seva Tourism | by ...	Tour Eiffel Paris Seine photo	2026-09-24 # rejetée
/images/q-quiz-departements-francais-02.webp	https://img.yellohvillage.fr/var/plain_site/storage/images/site_marchand/choisissez_votre_camping/par_ville/quimper/1699889-14-fre-FR/quimper.jpg	https://maker.huskytones.com/pourquoi-y-atil-du-monde-dans-le-centreville-de-quimper/	Pourquoi Y A-T-Il Du Monde Dans Le Centre-Ville De Quimper – SFSPF	Quimper cathédrale Odet	2026-09-24
/images/q-quiz-departements-francais-09.webp	https://blankcalendarpages.com/printable_calendar/calendrier8/novembre-2026-calendrier-fr8.jpg	https://blankcalendarpages.com/fr/novembre-2026-calendrier	novembre 2026 calendrier imprimable | Calendrier gratuit	mont Blanc massif	2026-09-24 # rejetée
/images/q-quiz-departements-francais-10.webp	http://www.cartabledunemaitresse.fr/wp-content/uploads/telechargements/tice/tbi/seyes_8mm_17x22_videop.png	http://www.cartabledunemaitresse.fr/activinspire-un-quadrillage-seyes-en-fond-de-paperboard/	ActivInspire ♦ Un quadrillage seyes en fond de paperboard ~ Cartable d ...	Mont Saint-Michel abbaye marée	2026-09-24 # rejetée
/images/q-quiz-departements-francais-01.webp	https://cdn.sortiraparis.com/images/800/105590/1181399-visuel-paris-1er-seine.jpg	https://www.titrespresse.com/21758962603/paris-evan-hansen	Que faire ce lundi à Paris ? Sorties et bons plans du 21 septembre 2026	Paris Eiffel Tower Trocadero photograph	2026-09-24 # rejetée
