fichier	url_image	page_source	titre	requete	date
/images/sub-antiquite.webp	https://static.vecteezy.com/ti/photos-gratuite/p1/8206200-acropole-parthenon-a-athenes-grece-photo.jpg	https://fr.vecteezy.com/photo/8206200-acropole-parthenon-a-athenes-grece	Acropole Parthénon à Athènes en Grèce 8206200 Photo de stock chez Vecteezy	Parthénon Acropole Athènes photo	2026-09-24	# rejetée
/images/sub-moyen-age.webp	https://cdn.generationvoyage.fr/2025/02/Les-remparts-de-la-Cite-de-Carcassonne-ont-ete-renoves-par-Viollet-le-Duc-La-cite-medievale-de-Carcassonne-La-cite-medievale-de-Carcassonne-1536x1152.jpeg	https://generationvoyage.fr/tourisme/carcassonne/	Tourisme Carcassonne : vivez des expériences uniques en 2025	cité de Carcassonne remparts médiévaux photo	2026-09-24
/images/sub-rois-de-france.webp	https://www.crushpixel.com/big-static7/preview4/north-facade-chateau-chambord-150133.jpg	https://www.crushpixel.com/fr/stock-photo/north-facade-chateau-chambord-150133.html	La façade nord du château de Chambord - Stock photo 150133 | Crushpixel	château de Chambord façade photo	2026-09-24	# rejetée
/images/sub-antiquite.webp	https://acropoleathenes.com/wp-content/uploads/2024/11/partenone-acropoli-atene-1.jpg	https://acropoleathenes.com/parthenon-acropole-athenes/	Parthénon Acropole d'Athènes : Ce Que c'est, Histoire, Architecture	Parthénon Acropole Athènes photo	2026-09-24
/images/sub-rois-de-france.webp	https://images.pexels.com/photos/19136582/pexels-photo-19136582/free-photo-of-facade-of-the-chateau-de-chambord-in-chambord-centre-val-de-loire-france.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	https://www.pexels.com/photo/facade-of-the-chateau-de-chambord-in-chambord-centre-val-de-loire-france-19136582/	Facade of the Chateau de Chambord in Chambord, Centre-Val de Loire ...	château de Chambord façade photo	2026-09-24
/images/sub-revolution-francaise.webp	https://www.meisterdrucke.fr/kunstwerke/1260px/Jean_Pierre_Houel_-_The_Taking_of_the_Bastille_14th_July_1789_-_(MeisterDrucke-105210).jpg	https://www.meisterdrucke.fr/fine-art-prints/Jean-Pierre-Houel/105210/La-Prise-de-la-Bastille,-14-juillet-1789.html	La Prise de la Bastille, 14 juillet 1789 | Jean-Pierre Houel	prise de la Bastille 14 juillet 1789 tableau Houël	2026-09-24
/images/sub-premiere-guerre-mondiale.webp	https://www.1jour1actu.com/wp-content/uploads/2018/11/054_gut9627.jpg	https://www.1jour1actu.com/monde/comment-cetait-la-premiere-guerre-mondiale-45336	Tout savoir sur la Première Guerre mondiale	poilus dans une tranchée 1916 photo historique	2026-09-24
/images/sub-seconde-guerre-mondiale.webp	https://www.normandie-tourisme.fr/app/uploads/2022/07/Cimetiere_americain_de_Colleville-sur-Mer_-_Marie-Anais_Thierry-Marie-Anais_Thierry-1600px.jpg	https://www.normandie-tourisme.fr/decouverte/d-day-et-bataille-de-normandie/visite-cimetiere-americain/	Le cimetière américain de Colleville-sur-Mer, Débarquement - Normandie ...	cimetière américain de Colleville-sur-Mer Normandie	2026-09-24
/images/q-antiquite-01.webp	https://img.toutvendre.fr/buste-de-jules-cesar-sculpture-marbre-poudre-empereur-romain_1163306612L.webp	https://www.toutvendre.fr/p/buste-de-jules-cesar-sculpture-marbre-poudre-empereur-romain/980627084	Buste De Jules César Sculpture Marbre Poudre Empereur Romain Arpajon ...	buste de Jules César marbre musée	2026-09-24	# rejetée
/images/q-antiquite-02.webp	https://img-4.linternaute.com/A4uvb6OnGGCeDuJEugpm6-t97SI=/1240x/smart/031dd27f81664ad5a35913550a444f6a/ccmcms-linternaute/2237889.jpg	https://www.linternaute.com/actualite/grand-projet/1198070-les-plus-hauts-batiments-de-l-histoire/1198072-pyramide-de-kheops	Pyramide de Khéops, à Gizeh (Egypte)	pyramide de Khéops Gizeh photo	2026-09-24
/images/q-antiquite-04.webp	https://cdn.tourschanteclerc.com/Europe/Italie/_1500x1000_crop_center-center_none_ns/23561/Pompei.webp	https://www.tourschanteclerc.com/destinations/europe/italie-classique	Italie classique | Tours Chanteclerc	ruines de Pompéi Vésuve en arrière-plan	2026-09-24
/images/q-antiquite-07.webp	https://www.oohmyworld.com/wp-content/uploads/2018/02/chemin-randonnee-mur-hadrien-angleterre-ooh-my-world.jpg	https://www.oohmyworld.com/decouvrir-mur-romain-the-hadrian-wall-pendant-un-weekend/	Découvrir le Mur d'Hadrien pendant un weekend en Angleterre	mur d'Hadrien Angleterre photo	2026-09-24	# rejetée
