fichier	url_image	page_source	titre	requete	date
/images/sub-counter-strike.webp	https://wallpapercave.com/wp/wp12817946.png	https://wallpapercave.com/cs2-wallpapers	CS2 Wallpapers - Wallpaper Cave	Counter-Strike 2 gameplay screenshot	2026-09-24
/images/q-counter-strike-01.webp	https://cdn.motor1.com/images/mgl/49nPM/s1/bentley-continental-gt-convertible-tweed-roof.jpg	https://learn.socialcreeps.com/bentley-continental-gt-cabriolet/	Bentley Continental Gt Cabriolet – LIHS	Counter-Strike 1.6 de_dust2 screenshot	2026-09-24 # rejetée
/images/q-counter-strike-04.webp	https://www.tellmeinspanish.com/wp-content/uploads/2023/07/How-to-Use-De-in-Spanish-Examples-De-vs-Del-More-Featured-1024x576.jpg	https://www.tellmeinspanish.com/grammar/de-spanish/	How to Use De in Spanish: Examples, De vs Del & More - Tell Me In Spanish	de_dust2 map CS2 overview	2026-09-24 # rejetée
/images/q-counter-strike-05.webp	https://wallpapercave.com/wp/wp15051035.webp	https://wallpapercave.com/central-cee-pc-wallpapers	Central Cee PC Wallpapers - Wallpaper Cave	AWP sniper rifle CS2	2026-09-24 # rejetée
/images/q-counter-strike-09.webp	https://images-cdn.ubuy.co.in/66695b41e9890560a66c2f04-oxygen-acetylene-welding-cutting-torch.jpg	https://www.ubuy.ma/fr/product/JU83Z92ZC-oxygen-acetylene-welding-torch-kit-professional-portable-welding-brazing-cutting-torch-kit-long-pipe-brass-nozzle-welding-with-pressure-gauge	Oxygène Acétylène Soudage Torche Kit, Maroc | Ubuy	Fnatic DreamHack Winter 2013 CS:GO champions trophy	2026-09-24 # rejetée
/images/q-brawl-stars-01.webp	https://imgv2-1-f.scribdassets.com/img/document/540854727/original/fcb4f7185d/1711542546?v=1	https://www.scribd.com/document/540854727/defi-blocs-logiques-4-modeles-par-page	Defi Blocs Logiques 4 Modeles Par Page | PDF	Brawl Stars Shelly	2026-09-24 # rejetée
/images/q-brawl-stars-05.webp	https://uploads.vw-mms.de/system/production/images/cws/076/825/images/09348350a77b9a0c36490035743c881595e1a203/B2023CW00377_retina_2400.jpg?1685099305	https://www.volkswagen-group.com/en/the-history-of-the-brands-17668/the-history-of-volkswagen-financial-services-17683	The History of Volkswagen Financial Services | Volkswagen Group	Brawl Stars Spike cactus	2026-09-24 # rejetée
/images/q-brawl-stars-07.webp	https://www.peramuzesi.org.tr/repo/staticcontent/images/frida-kapak.jpg	https://fity.club/lists/suggestions/frida-kahlo/	Frida Kahlo	Brawl Stars El Primo	2026-09-24 # rejetée
/images/q-brawl-stars-08.webp	https://dessinemoiunehistoire.net/wp-content/uploads/2025/09/albums-jeunesse-egalite-filles-garcons-maternelle-cycle-1-1024x1024.jpg	https://dessinemoiunehistoire.net/albums-jeunesse-egalite-fille-garcon-maternelle/	Albums jeunesse sur l'égalité filles garçons adaptés à la maternelle	Brawl Stars Brawl Ball gameplay	2026-09-24 # rejetée
/images/sub-fifa.webp	https://logos-world.net/wp-content/uploads/2021/02/FIFA-Emblem.jpg	https://logos-world.net/fifa-logo/	FIFA Logo, symbol, meaning, history, PNG, brand	FIFA 23 Kylian Mbappe cover	2026-09-24 # rejetée
/images/q-fifa-01.webp	https://logos-world.net/wp-content/uploads/2021/02/FIFA-Emblem.jpg	https://logos-world.net/fifa-logo/	FIFA Logo, symbol, meaning, history, PNG, brand	FIFA International Soccer 1993 Mega Drive cover	2026-09-24 # rejetée
