fichier	url_image	page_source	titre	requete	date
/images/cover-drapeaux-chiffres.webp	https://static.vecteezy.com/system/resources/previews/007/440/679/original/set-of-waving-flags-of-countries-of-the-world-isolated-on-white-illustration-vector.jpg	https://ar.inspiredpencil.com/pictures-2023/waving-flags-of-the-world	Waving Flags Of The World	flags of the world waving flagpoles row	2026-09-24 # rejetée
/images/q-quiz-drapeaux-chiffres-01.webp	https://images.unsplash.com/photo-1689973066468-0045b00297bd?fm=jpg&q=60&w=3000&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1yZWxhdGVkfDE1fHx8ZW58MHx8fHx8	https://fity.club/lists/suggestions/american-flag-waving-in-the-sky/	American Flag Waving In The Sky	United States flag waving blue sky	2026-09-24
/images/q-quiz-drapeaux-chiffres-02.webp	https://miapartner.com/wp-content/uploads/2018/09/stock-photo-eu-flags-waving-in-front-of-european-parliament-building-brussels-belgium-318496325.jpg	https://miapartner.com/stock-photo-eu-flags-waving-in-front-of-european-parliament-building-brussels-belgium-318496325/	stock-photo-eu-flags-waving-in-front-of-european-parliament-building ...	European Union flag waving Brussels	2026-09-24 # rejetée
/images/q-quiz-drapeaux-chiffres-03.webp	https://static.vecteezy.com/system/resources/thumbnails/017/553/431/original/flag-of-brazil-waving-on-blue-sky-background-video.jpg	https://www.vecteezy.com/video/17553431-flag-of-brazil-waving-on-blue-sky-background	Flag of Brazil Waving on blue sky background 17553431 Stock Video at ...	Brazil flag waving	2026-09-24
/images/q-quiz-drapeaux-chiffres-06.webp	http://flagpolesetc.com/cdn/shop/articles/COLOURBOX1194135.jpg?v=1704362627	https://flagpolesetc.com/blogs/blog-posts/the-dannebrog-denmarks-historical-and-cultural-icon	Dannebrog: The Emblem Showing Denmark's Pride and Legacy – Flagpoles Etc	Denmark flag Dannebrog waving	2026-09-24
/images/q-quiz-drapeaux-chiffres-07.webp	https://static.vecteezy.com/system/resources/previews/049/047/022/large_2x/greek-flag-waving-over-ancient-ruins-of-parthenon-temple-on-acropolis-hill-in-athens-free-photo.jpg	https://www.vecteezy.com/photo/49047022-greek-flag-waving-over-ancient-ruins-of-parthenon-temple-on-acropolis-hill-in-athens	Greek flag waving over ancient ruins of parthenon temple on acropolis ...	Greece flag waving Acropolis	2026-09-24 # rejetée
/images/q-quiz-drapeaux-europe-01.webp	https://static.vecteezy.com/system/resources/previews/017/589/680/non_2x/waving-flag-of-the-country-ireland-illustration-vector.jpg	https://ar.inspiredpencil.com/pictures-2023/waving-irish-flag-gif	Waving Irish Flag Gif	Irish flag waving Dublin	2026-09-24
/images/q-quiz-drapeaux-europe-05.webp	https://static.vecteezy.com/system/resources/previews/010/307/044/non_2x/swedish-flag-waving-in-stockholm-photo.jpg	https://www.vecteezy.com/photo/10307044-swedish-flag-waving-in-stockholm	Swedish flag waving in Stockholm 10307044 Stock Photo at Vecteezy	Swedish flag waving Stockholm	2026-09-24 # rejetée
/images/q-quiz-drapeaux-europe-06.webp	https://dm0qx8t0i9gc9.cloudfront.net/thumbnails/video/r2lpKB3W2lg55psqz/videoblocks-cyprus-flag-realistic-waving-4k_beqfx5rza_thumbnail-1080_09.png	https://www.storyblocks.com/video/stock/cyprus-flag-realistic-waving-4k-348585090	Cyprus Flag Realistic Waving 4k Stock Motion Graphics SBV-348585090 ...	Cyprus flag waving	2026-09-24
/images/q-quiz-drapeaux-europe-09.webp	https://static.vecteezy.com/system/resources/previews/065/753/971/non_2x/spanish-flag-waving-in-madrid-with-almudena-cathedral-in-background-photo.jpg	https://www.vecteezy.com/photo/65753971-spanish-flag-waving-in-madrid-with-almudena-cathedral-in-background	Spanish flag waving in madrid with almudena cathedral in background ...	Spain flag waving Madrid	2026-09-24 # rejetée
/images/cover-etats-unis-presidents.webp	https://img.andrewprokos.com/DC-WHITE-HOUSE-DUSK-CU-1000PX.jpg	https://andrewprokos.com/photo/white-house-north-facade/	View of the White House North Facade - Washington DC Photos - PROKOS	White House Washington DC north facade	2026-09-24 # rejetée
/images/q-quiz-etats-unis-presidents-04.webp	https://i.etsystatic.com/13037325/r/il/44bfb2/1851737097/il_1080xN.1851737097_hqtq.jpg	https://www.etsy.com/listing/473773817/astronaut-buzz-aldrin-on-the-moon-during	Astronaut Buzz Aldrin on the Moon During Apollo 11 - 8X10 NASA Photo ...	Apollo 11 Buzz Aldrin on the Moon photo	2026-09-24 # rejetée
/images/q-quiz-etats-unis-presidents-09.webp	https://frickers.co.uk/art/wp-content/uploads/2020/09/Mayflower-Plymouth-England-1620-10.09.20-IMG_0384.jpg	https://fity.club/lists/suggestions/1620/	1620	Mayflower ship painting Plymouth 1620	2026-09-24
/images/cover-etats-unis-villes.webp	https://justinkelefas.com/wp-content/uploads/2022/04/NY-MEGA-PANO-2022-6-Standard-Pano-CROP-2500-2.jpg	https://justinkelefas.com/product/new-york-city-manhattan-skyline-2022-panoramic/	New York City Manhattan Skyline Panoramic | Justin Kelefas Fine Art ...	Manhattan skyline New York City panorama	2026-09-24
/images/q-quiz-etats-unis-villes-01.webp	https://get.pxhere.com/photo/sea-sunset-bridge-morning-golden-gate-bridge-san-francisco-suspension-bridge-dusk-evening-landmark-cable-stayed-bridge-nonbuilding-structure-269.jpg	https://pxhere.com/en/photo/269	Free Images : sea, sunset, morning, golden gate bridge, san francisco ...	Golden Gate Bridge San Francisco	2026-09-24
/images/q-quiz-etats-unis-villes-03.webp	https://wallpapers.com/images/hd/seattle-space-needle-night-skyline-xmk12u5o4kkqfp4e.jpg	https://wallpapers.com/wallpapers/seattle-space-needle-night-skyline-xmk12u5o4kkqfp4e.html	Download Seattle Space Needle Night Skyline Wallpaper | Wallpapers.com	Space Needle Seattle skyline	2026-09-24
/images/q-quiz-etats-unis-villes-07.webp	https://www.visitphilly.com/wp-content/uploads/2021/01/liberty-bell-courtesy-NPS-1200x900-1.jpg	https://www.visitphilly.com/features/guide-to-independence-hall-and-the-liberty-bell-in-philadelphia/	How to Do Independence Hall and the Liberty Bell — Visit Philadelphia	Liberty Bell Philadelphia	2026-09-24
/images/q-quiz-etats-unis-villes-09.webp	https://www.visionsoftravel.org/wp-content/uploads/2015/01/TheGatewayArchSaintLouisMissouri.jpg	https://visionsoftravel.org/gateway-arch-saint-louis-missouri/	The Gateway Arch : Saint Louis Missouri | Visions of Travel	Gateway Arch St. Louis	2026-09-24
/images/cover-harry-potter-personnages.webp	http://images5.fanpop.com/image/photos/27100000/harry-ron-and-hermione-harry-potter-27156711-1280-825.jpg	https://onedio.co/content/44-heartwarming-movies-about-friendship-11725	44 Heartwarming Movies About Friendship - Onedio	Harry Potter Ron Hermione trio film still	2026-09-24
/images/q-quiz-harry-potter-personnages-01.webp	https://images3.alphacoders.com/120/1202557.jpg	https://wall.alphacoders.com/big.php?i=1202557	Download Gary Oldman Sirius Black Movie Harry Potter And The Prisoner ...	Gary Oldman Sirius Black Harry Potter	2026-09-24
/images/q-quiz-harry-potter-personnages-03.webp	https://media-cldnry.s-nbcnews.com/image/upload/rockcms/2022-10/221014-robbie-coltrane-hagrid-harry-potter-mjf-1317-094a19.jpg	https://www.disneydining.com/robbie-coltrane-cause-of-death-revealed-bb1/	Death Certificate Reveals 6 Contributing Causes in Beloved "Harry ...	Robbie Coltrane Hagrid Harry Potter	2026-09-24
/images/q-quiz-harry-potter-personnages-06.webp	http://www.slashfilm.com/wp/wp-content/images/Alan-Rickman-as-Severus-Snape-in-Harry-Potter.jpg	http://www.slashfilm.com/alan-rickman-severus-snape/	J.K. Rowling Reveals Alan Rickman Severus Snape Secret	Alan Rickman Severus Snape	2026-09-24
/images/q-quiz-harry-potter-personnages-08.webp	https://i.pinimg.com/originals/07/79/86/077986e425cc4a787304e11fae9b32c4.jpg	https://ar.inspiredpencil.com/pictures-2023/david-thewlis-remus-lupin	David Thewlis Remus Lupin	David Thewlis Remus Lupin	2026-09-24
/images/cover-harry-potter-magie.webp	https://static1.colliderimages.com/wordpress/wp-content/uploads/2022/03/Hogwarts-Castle.jpg	https://collider.com/harry-potter-hogwarts-scenes-rewatchable-ranked/	10 Most Rewatchable Hogwarts Scenes in Harry Potter, Ranked	Hogwarts castle Harry Potter film	2026-09-24
/images/q-quiz-harry-potter-magie-05.webp	https://usmap.us.com/wp-content/uploads/2026/02/harry-potter-marauders-map-printable-template-scaled.jpg	https://usmap.us.com/harry-potter-printable-marauders-map/	Harry Potter Printable Marauders Map - US Map Printable	Marauder's Map Harry Potter prop	2026-09-24 # rejetée
/images/q-quiz-harry-potter-magie-06.webp	https://image.kbtrendmart.co.uk/wm/8/8d725aa1-d034-48d1-9400-c5f56a5f1b76_4.773ae695020152913d685f6f3d527210.jpeg	https://kbtrendmart.co.uk/product/new-harry-potter-time-turner-hermione-granger-rotating-necklace	NEW Harry Potter Time Turner Hermione Granger Rotating Necklace - Avant ...	Time-Turner Hermione Harry Potter necklace	2026-09-24
/images/q-quiz-harry-potter-magie-07.webp	https://i.pinimg.com/originals/2c/45/f6/2c45f6ca4cc3b5cc069d4459be69f70f.jpg	https://www.pinterest.com/pin/352969689540833488/	Harry Potter and the Sorcerer’s Stone - Harry is surprised to see ...	Mirror of Erised Harry Potter scene	2026-09-24
