fichier	url_image	page_source	titre	requete	date
/images/cover-tennis-regles.webp	https://thumbs.wbm.im/pw/medium/142941ea812a4cb819c7aa1e18983907.jpg	https://pikwizard.com/photo/overhead-view-of-female-tennis-player-serving-on-hard-court-athletic-action/142941ea812a4cb819c7aa1e18983907/	Overhead view of female tennis player serving on hard court, athletic ...	tennis player serving on hard court match	2026-09-24
/images/q-tennis-regles-01.webp	https://png.pngtree.com/thumb_back/fw800/background/20250818/pngtree-close-up-of-a-tennis-ball-hitting-the-net-image_18114158.webp	https://pngtree.com/freebackground/close-up-of-a-tennis-ball-hitting-the-net_17254728.html	Close Up Of A Tennis Ball Hitting The Net, Tennis Ball, Hitting, Net ...	tennis ball hitting net cord close up	2026-09-24 # rejetée
/images/q-tennis-regles-02.webp	https://www.sodexsport.com/sodex_sport_library/Product-photos/EN/racket-sport/tennis/posts/S25319/tennis-net-center-strap-base-weight-2.jpg	https://www.sodexsport.com/products/tennis-net-center-strap-base-weight	Tennis net center strap base weight	tennis net center strap close up court	2026-09-24
/images/q-tennis-regles-04.webp	https://www.picclickimg.com/UpwAAeSwcu9pHz8w/4-Boxed-Vintage-Slazenger-White-Tennis-Balls-Wimbledon.webp	https://picclick.co.uk/4-Boxed-Vintage-Slazenger-White-Tennis-Balls-Wimbledon-406404742239.html	4 BOXED VINTAGE Slazenger White Tennis Balls Wimbledon 1952 £34.00 ...	Wimbledon white tennis balls vintage grass	2026-09-24
/images/q-tennis-chiffres-01.webp	https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg)/origin-imgresizer.eurosport.com/2011/06/20/733202-21217183-2560-1440.jpg	https://www.eurosport.it/tennis/wimbledon/2021/tennis-wimbledon-2010-isner-mahut-record-e-numeri-del-match-piu-lungo-della-storia-del-tennis_sto8387810/story.shtml	Tennis - Wimbledon 2010, Isner-Mahut: record e numeri del match più ...	Isner Mahut Wimbledon 2010 scoreboard 70-68	2026-09-24
/images/q-tennis-chiffres-02.webp	https://pbs.twimg.com/media/D_BFsUpX4AA8yoH.jpg	https://www.scoopnest.com/user/HistoricEngland/1148494534395011074-the-world39s-first-official-lawn-tennis-tournament-started-on-this-day-in-1877-at-the-all-england-cl	The world's first official lawn tennis tournament started on this day ...	All England Club Wimbledon history 1877 lawn tennis	2026-09-24
/images/q-tennis-chiffres-03.webp	https://wallpapers.com/images/hd/roger-federer-wimbledon-2007-trophy-zwh1b2aopwmr0cf9.jpg	https://wallpapers.com/wallpapers/roger-federer-wimbledon-2007-trophy-zwh1b2aopwmr0cf9.html	Download Roger Federer Wimbledon 2007 Trophy Wallpaper | Wallpapers.com	Roger Federer holding trophy	2026-09-24
/images/q-tennis-chiffres-04.webp	https://images.prismic.io/fft-rg-commun-news/00ed97b1-daad-491f-ae8b-967f14859e11_Stade3.jpg?auto=compress,format	https://www.rolandgarros.com/en-us/photo-gallery/photo-gallery-visit-the-new-roland-garros-stadium-2020?photo=1	PHOTO GALLERY: visit the new Roland-Garros stadium! - Roland-Garros ...	court Philippe-Chatrier Roland Garros stadium	2026-09-24
/images/q-equitation-races-01.webp	https://plus.unsplash.com/premium_photo-1661885945007-e4871c8dec35?blend=000000&blend-alpha=10&blend-mode=normal&blend-w=1&crop=faces%2Cedges&h=630&mark=https:%2F%2Fimages.unsplash.com%2Fopengraph%2Flogo.png&mark-align=top%2Cleft&mark-pad=50&mark-w=64&w=1200&auto=format&fit=crop&q=60&ixid=M3wxMjA3fDB8MXxhbGx8fHx8fHx8fHwxNzA2NTkxNzkzfA&ixlib=rb-4.0.3	https://unsplash.com/fr/photos/chevaux-de-camargue-blancs-galopant-sur-leau-4-vXZpxj_vs	Chevaux de Camargue blancs galopant sur l’eau. photo – Mammifère Photo ...	chevaux de Camargue blancs dans l'eau	2026-09-24
/images/q-equitation-races-03.webp	https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,dpr=1/tour_img/d5f78135cd48da7900758cffbfd65dce5e1e554b74afb5541482ef23568a291d.jpg	https://www.getyourguide.com/vienna-l7/performance-of-the-lipizzans-at-spanish-riding-school-t187323/	Performance Of The Lipizzans At Spanish Riding School | GetYourGuide	Lipizzaner Spanish Riding School Vienna performance	2026-09-24
